Accession,Name,BioRep1_techrep1,BioRep1_techrep2,BioRep1_union,BioRep1_mean,BioRep2,Union,Mean,kDA,AA_Length,num_peptides
Q9W2U7,CG17255_isoform_A,6.0,11.0,12.0,8.5,8.0,14.0,8.25,235.43076271,2309.0,161.0
Q26365,ADPATP_carrier_protein,5.0,10.0,12.0,7.5,7.0,15.0,7.25,34.17476158,312.0,40.0
Q26365-2,Isoform_A_of_ADPATP_carrier_protein,5.0,10.0,12.0,7.5,7.0,15.0,7.25,32.87012213,299.0,39.0
Q8IGP5,CG1832_isoform_B,4.0,6.0,6.0,5.0,5.0,8.0,5.0,61.70032066,566.0,53.0
Q9V9N4,CG1832_isoform_A,4.0,6.0,6.0,5.0,5.0,8.0,5.0,61.13808508,561.0,52.0
A4V3Q6,Elongation_factor_1-alpha,5.0,1.0,6.0,3.0,3.0,7.0,3.0,50.61246233,462.0,62.0
P05303,Elongation_factor_1-alpha_2,5.0,1.0,6.0,3.0,3.0,7.0,3.0,50.61246233,462.0,62.0
P08736,Elongation_factor_1-alpha_1,5.0,1.0,6.0,3.0,3.0,7.0,3.0,50.25740071,463.0,62.0
Q86NP2,Negative_elongation_factor_A,0.0,6.0,6.0,3.0,3.0,7.0,3.0,134.84880928,1251.0,101.0
L0MQ04,ATP_synthase-beta_isoform_C,3.0,0.0,3.0,1.5,2.0,5.0,1.75,54.63067838,511.0,50.0
Q05825,ATP_synthase_subunit_beta_mitochondrial,3.0,0.0,3.0,1.5,2.0,5.0,1.75,54.05640328,505.0,50.0
Q08473-2,Isoform_A_of_RNA-binding_protein_squid,2.0,1.0,2.0,1.5,2.0,3.0,1.75,34.96352819,321.0,39.0
P21187,Polyadenylate-binding_protein,0.0,6.0,6.0,3.0,0.0,6.0,1.5,69.86359064,634.0,79.0
Q94920,Voltage-dependent_anion-selective_channel,2.0,0.0,2.0,1.0,2.0,2.0,1.5,30.51344698,282.0,30.0
A1ZAB5,Protein_clueless,1.0,4.0,5.0,2.5,0.0,5.0,1.25,160.73360105,1448.0,159.0
E1JHL5,Lethal_(2)_37Cc_isoform_C,1.0,0.0,1.0,0.5,2.0,2.0,1.25,28.27893597,257.0,25.0
P24156,Protein_l(2)37Cc,1.0,0.0,1.0,0.5,2.0,2.0,1.25,30.34706761,276.0,27.0
Q7KM15,Beta_NAC_homolog,0.0,3.0,3.0,1.5,1.0,3.0,1.25,17.70931313,169.0,23.0
Q8IPE8,CG4389_isoform_B,3.0,0.0,3.0,1.5,1.0,4.0,1.25,79.57022655,744.0,89.0
Q9V397,BcDNA.GH12558,3.0,0.0,3.0,1.5,1.0,4.0,1.25,84.00371176,783.0,96.0
Q9VEX6,AAA_family_protein_Bor,0.0,1.0,1.0,0.5,2.0,3.0,1.25,68.30029882,604.0,99.0
A4V4A5,Ran_isoform_B,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.67463819,216.0,30.0
P54399,Protein_disulfide-isomerase,2.0,0.0,2.0,1.0,1.0,2.0,1.0,55.72835609,496.0,60.0
Q7KNS5,Quaking_related_54B_isoform_A,2.0,2.0,3.0,2.0,0.0,3.0,1.0,46.44966627,428.0,51.0
Q9VNX4,CG7145_isoform_A,2.0,0.0,2.0,1.0,1.0,2.0,1.0,63.60825978,574.0,67.0
Q9VRP2,CG10576_isoform_A,2.0,0.0,2.0,1.0,1.0,2.0,1.0,42.72816376,391.0,51.0
Q9VVL7,Dihydrolipoyl_dehydrogenase,2.0,0.0,2.0,1.0,1.0,2.0,1.0,53.03350769,504.0,49.0
Q9VZ23,GTP-binding_nuclear_protein_Ran,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.67463819,216.0,30.0
A4V3J5,Heterogeneous_nuclear_ribonucleoprotein_at_98DE_isoform_C,1.0,0.0,1.0,0.5,1.0,2.0,0.75,38.99625561,365.0,40.0
A4V3J6,Heterogeneous_nuclear_ribonucleoprotein_at_98DE_isoform_F,1.0,0.0,1.0,0.5,1.0,2.0,0.75,38.50904892,361.0,40.0
O02649,60_kDa_heat_shock_protein_mitochondrial,1.0,0.0,1.0,0.5,1.0,2.0,0.75,60.75287982,573.0,73.0
O61602,Apontic,1.0,0.0,1.0,0.5,1.0,1.0,0.75,54.49522804,483.0,55.0
P07909,Heterogeneous_nuclear_ribonucleoprotein_A1,1.0,0.0,1.0,0.5,1.0,2.0,0.75,38.99625561,365.0,40.0
P07909-2,Isoform_A_of_Heterogeneous_nuclear_ribonucleoprotein_A1,1.0,0.0,1.0,0.5,1.0,2.0,0.75,38.99622323,364.0,40.0
P07909-3,Isoform_E_of_Heterogeneous_nuclear_ribonucleoprotein_A1,1.0,0.0,1.0,0.5,1.0,2.0,0.75,38.50901654,360.0,40.0
P07909-4,Isoform_D_of_Heterogeneous_nuclear_ribonucleoprotein_A1,1.0,0.0,1.0,0.5,1.0,2.0,0.75,38.50904892,361.0,40.0
P11147,Heat_shock_70_kDa_protein_cognate_4,0.0,1.0,1.0,0.5,1.0,2.0,0.75,71.06936047,651.0,81.0
P29413,Calreticulin,1.0,0.0,1.0,0.5,1.0,1.0,0.75,46.76118462,406.0,46.0
P54622,Single-stranded_DNA-binding_protein_mitochondrial,0.0,1.0,1.0,0.5,1.0,2.0,0.75,16.33946434,146.0,19.0
Q08473,RNA-binding_protein_squid,2.0,1.0,2.0,1.5,0.0,2.0,0.75,36.14412895,344.0,43.0
Q08473-3,Isoform_C_of_RNA-binding_protein_squid,2.0,1.0,2.0,1.5,0.0,2.0,0.75,33.01579985,308.0,40.0
Q86BP1,CG5044_isoform_B,1.0,0.0,1.0,0.5,1.0,2.0,0.75,42.8301573,386.0,44.0
Q8MLR4,Apontic_isoform_E,1.0,0.0,1.0,0.5,1.0,1.0,0.75,52.89748341,469.0,54.0
Q960K8,CG5044_isoform_A,1.0,0.0,1.0,0.5,1.0,2.0,0.75,42.70209872,385.0,44.0
Q9V3Q4,GH25379p,1.0,0.0,1.0,0.5,1.0,1.0,0.75,26.70885466,242.0,23.0
Q9V438,CaBP1,1.0,0.0,1.0,0.5,1.0,1.0,0.75,46.70470684,433.0,50.0
Q9W1M6,Apontic_isoform_B,1.0,0.0,1.0,0.5,1.0,1.0,0.75,55.04045482,489.0,55.0
A1Z9J3,Short_stop_isoform_H,0.0,0.0,0.0,0.0,1.0,1.0,0.5,988.92491785,8805.0,1109.0
A1ZAT7,Quaking_related_54B_isoform_C,0.0,2.0,2.0,1.0,0.0,2.0,0.5,46.44966627,428.0,51.0
A1ZB77,CG5174_isoform_J,0.0,0.0,0.0,0.0,1.0,1.0,0.5,20.47247515,186.0,24.0
A1ZB78,CG5174_isoform_G,0.0,0.0,0.0,0.0,1.0,1.0,0.5,18.24437506,166.0,23.0
A1ZB79,CG5174_isoform_M,0.0,0.0,0.0,0.0,1.0,1.0,0.5,21.88796986,202.0,25.0
A1ZB80,CG5174_isoform_A,0.0,0.0,0.0,0.0,1.0,1.0,0.5,22.52528825,208.0,24.0
A1ZB83,CG5174_isoform_B,0.0,0.0,0.0,0.0,1.0,1.0,0.5,39.31662719,355.0,40.0
A4V2Z1,CG4699_isoform_D,0.0,0.0,0.0,0.0,1.0,1.0,0.5,167.76713472,1550.0,167.0
A4V364,CG17838_isoform_F,0.0,0.0,0.0,0.0,1.0,1.0,0.5,59.34722179,529.0,77.0
A8DYI6,Lethal_(2)_03709_isoform_E,0.0,0.0,0.0,0.0,1.0,1.0,0.5,37.23882945,338.0,46.0
A8DYI7,Lethal_(2)_03709_isoform_D,0.0,0.0,0.0,0.0,1.0,1.0,0.5,33.45487738,303.0,39.0
A8JR54,CG17838_isoform_H,0.0,0.0,0.0,0.0,1.0,1.0,0.5,59.99651117,534.0,78.0
B7YZG2,Short_stop_isoform_K,0.0,0.0,0.0,0.0,1.0,1.0,0.5,613.23960635,5370.0,758.0
B7YZG3,Short_stop_isoform_I,0.0,0.0,0.0,0.0,1.0,1.0,0.5,613.30370402,5375.0,760.0
B7YZG4,Short_stop_isoform_J,0.0,0.0,0.0,0.0,1.0,1.0,0.5,612.71343784,5368.0,763.0
B7YZG5,Short_stop_isoform_L,0.0,0.0,0.0,0.0,1.0,1.0,0.5,625.67327505,5486.0,770.0
B7YZG6,Short_stop_isoform_M,0.0,0.0,0.0,0.0,1.0,1.0,0.5,625.08300887,5479.0,773.0
E1JGL5,CG5174_isoform_L,0.0,0.0,0.0,0.0,1.0,1.0,0.5,22.66437673,209.0,24.0
E1JH02,Lingerer_isoform_E,0.0,0.0,0.0,0.0,1.0,1.0,0.5,134.46312135,1332.0,75.0
E1JH62,Short_stop_isoform_N,0.0,0.0,0.0,0.0,1.0,1.0,0.5,614.97655442,5388.0,767.0
E1JH63,Short_stop_isoform_O,0.0,0.0,0.0,0.0,1.0,1.0,0.5,627.34612545,5499.0,777.0
E1JH64,Short_stop_isoform_Q,0.0,0.0,0.0,0.0,1.0,1.0,0.5,588.5481575,5155.0,730.0
E1JH65,Short_stop_isoform_P,0.0,0.0,0.0,0.0,1.0,1.0,0.5,621.74457993,5458.0,773.0
E1JIM0,CG4699_isoform_E,0.0,0.0,0.0,0.0,1.0,1.0,0.5,167.68010269,1549.0,167.0
E1JIM1,CG4699_isoform_J,0.0,0.0,0.0,0.0,1.0,1.0,0.5,99.01139669,936.0,84.0
E2QCP0,Histone_H3,1.0,1.0,1.0,1.0,0.0,1.0,0.5,15.30049199,136.0,30.0
O62619,Pyruvate_kinase,0.0,0.0,0.0,0.0,1.0,1.0,0.5,57.38584896,533.0,57.0
O62619-2,Isoform_B_of_Pyruvate_kinase,0.0,0.0,0.0,0.0,1.0,1.0,0.5,55.00567569,512.0,57.0
P02283,Histone_H2B,0.0,2.0,2.0,1.0,0.0,2.0,0.5,13.66950782,123.0,28.0
P02299,Histone_H3,1.0,1.0,1.0,1.0,0.0,1.0,0.5,15.36049537,136.0,30.0
P13469,DNA-binding_protein_modulo,0.0,0.0,0.0,0.0,1.0,1.0,0.5,60.25514443,542.0,80.0
P29844,Heat_shock_70_kDa_protein_cognate_3,2.0,0.0,2.0,1.0,0.0,2.0,0.5,72.1984389,656.0,88.0
P29845,Heat_shock_70_kDa_protein_cognate_5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,74.00221343,686.0,87.0
P40304,Proteasome_subunit_beta_type-1,0.0,0.0,0.0,0.0,1.0,1.0,0.5,25.80794049,235.0,24.0
P84249,Histone_H3.3,1.0,1.0,1.0,1.0,0.0,1.0,0.5,15.30049199,136.0,30.0
Q0E924,LD46344p,0.0,0.0,0.0,0.0,1.0,1.0,0.5,33.02771832,299.0,39.0
Q0KI68,CG4699_isoform_F,0.0,0.0,0.0,0.0,1.0,1.0,0.5,167.60906558,1548.0,167.0
Q59E29,Failed_axon_connections_isoform_D,0.0,0.0,0.0,0.0,1.0,1.0,0.5,32.05928547,279.0,40.0
Q59E30,Failed_axon_connections_isoform_C,0.0,0.0,0.0,0.0,1.0,1.0,0.5,46.59659374,415.0,57.0
