Name,S2_CLAMP,S2_IgG,S2_CLAMP-IgG,Kc_CLAMP,Kc_IgG,Kc_CLAMP-IgG,S2XLIP_CLAMP,S2XLIP_IgG,S2XLIP_CLAMP-IgG
Single-stranded_DNA-binding_protein_mitochondrial,0.0,0.0,0.0,5.13698630137,0.0,5.13698630137,0.0,490.684931507,-490.684931507
Lethal_(2)_37Cc_isoform_C,0.0,0.0,0.0,4.86381322957,0.0,4.86381322957,256.186770428,312.295719844,-56.1089494163
Isoform_A_of_RNA-binding_protein_squid,0.0,0.0,0.0,5.45171339564,0.778816199377,4.67289719626,0.0,0.0,0.0
GTP-binding_nuclear_protein_Ran,0.0,0.0,0.0,4.62962962963,0.0,4.62962962963,0.0,176.157407407,-176.157407407
Ran_isoform_B,0.0,0.0,0.0,4.62962962963,0.0,4.62962962963,0.0,176.157407407,-176.157407407
Protein_l(2)37Cc,0.0,0.0,0.0,4.52898550725,0.0,4.52898550725,238.550724638,290.797101449,-52.2463768116
Beta_NAC_homolog,0.0,0.0,0.0,7.39644970414,2.95857988166,4.43786982249,0.0,0.0,0.0
Histone_H3,0.0,0.0,0.0,3.67647058824,0.0,3.67647058824,473.014705882,801.617647059,-328.602941176
Histone_H3,0.0,0.0,0.0,3.67647058824,0.0,3.67647058824,473.014705882,801.617647059,-328.602941176
Histone_H3.3,0.0,0.0,0.0,3.67647058824,0.0,3.67647058824,473.014705882,801.617647059,-328.602941176
CG5174_isoform_G,0.0,0.0,0.0,3.01204819277,0.0,3.01204819277,0.0,0.0,0.0
CG5174_isoform_J,0.0,0.0,0.0,2.68817204301,0.0,2.68817204301,0.0,0.0,0.0
CG5174_isoform_H,0.0,0.0,0.0,2.65957446809,0.0,2.65957446809,0.0,0.0,0.0
CG10576_isoform_A,0.0,0.0,0.0,2.55754475703,0.0,2.55754475703,0.0,0.0,0.0
ATP_synthase_subunit_beta_mitochondrial,0.0,0.0,0.0,3.46534653465,0.990099009901,2.47524752475,0.0,0.0,0.0
CG5174_isoform_M,0.0,0.0,0.0,2.47524752475,0.0,2.47524752475,0.0,0.0,0.0
ATP_synthase-beta_isoform_C,0.0,0.0,0.0,3.42465753425,0.978473581213,2.44618395303,0.0,0.0,0.0
CG5174_isoform_A,0.0,0.0,0.0,2.40384615385,0.0,2.40384615385,0.0,0.0,0.0
