Name,S2_CLAMP,S2_IgG,S2_CLAMP-IgG,Kc_CLAMP,Kc_IgG,Kc_CLAMP-IgG,S2XLIP_CLAMP,S2XLIP_IgG,S2XLIP_CLAMP-IgG
Heterogeneous_nuclear_ribonucleoprotein_27C,17.2209026128,2.37529691211,14.8456057007,0.0,0.0,0.0,0.0,0.0,0.0
Heterogeneous_nuclear_ribonucleoprotein_at_27C_isoform_D,17.2209026128,2.37529691211,14.8456057007,0.0,0.0,0.0,0.0,0.0,0.0
Histone_H4,4.85436893204,2.42718446602,2.42718446602,0.0,4.85436893204,-4.85436893204,1200.19417476,3206.31067961,-2006.11650485
Eukaryotic_translation_initiation_factor_4G_isoform_A,2.10084033613,0.300120048019,1.80072028812,0.0,0.450180072029,-0.450180072029,21.2484993998,179.381752701,-158.133253301
Eukaryotic_translation_initiation_factor_4G_isoform_B,1.82386659719,0.260552371027,1.56331422616,0.0,0.39082855654,-0.39082855654,18.4471078687,155.732152163,-137.285044294
FI01658p,1.80505415162,0.0,1.80505415162,0.0,0.0,0.0,80.0,272.238267148,-192.238267148
Isoform_A_of_Ataxin-2_homolog,1.68918918919,0.281531531532,1.40765765766,0.0,0.563063063063,-0.563063063063,0.0,23.6036036036,-23.6036036036
CG7239,1.6339869281,0.0,1.6339869281,0.0,0.0,0.0,0.0,0.0,0.0
Pif1A_isoform_D,1.5873015873,0.396825396825,1.19047619048,0.0,0.0,0.0,82.7619047619,56.0317460317,26.7301587302
Isoform_C_of_Ataxin-2_homolog,1.46627565982,0.244379276637,1.22189638319,0.0,0.488758553275,-0.488758553275,0.0,20.4887585533,-20.4887585533
Ataxin-2_homolog,1.38376383764,0.230627306273,1.15313653137,0.0,0.461254612546,-0.461254612546,0.0,19.3357933579,-19.3357933579
Gp210,1.33262260128,0.0,1.33262260128,0.0,0.0,0.0,511.369936034,35.4104477612,475.959488273
CG17233_isoform_D,1.29533678756,0.0,1.29533678756,0.0,0.0,0.0,0.0,0.0,0.0
Protein_argonaute-2,1.23558484349,0.0,1.23558484349,0.0,0.0,0.0,0.0,23.8138385502,-23.8138385502
Isoform_C_of_Protein_argonaute-2,1.2325390304,0.0,1.2325390304,0.0,0.0,0.0,0.0,23.7551355793,-23.7551355793
CG4857_isoform_E,1.19976004799,0.599880023995,0.599880023995,0.0,0.749850029994,-0.749850029994,0.0,0.0,0.0
CG4857_isoform_F,1.19976004799,0.599880023995,0.599880023995,0.0,0.749850029994,-0.749850029994,0.0,0.0,0.0
Charged_multivesicular_body_protein_5,1.10619469027,0.0,1.10619469027,0.0,0.0,0.0,0.0,0.0,0.0
CG4857_isoform_B,1.04657247514,0.523286237572,0.523286237572,0.0,0.654107796965,-0.654107796965,0.0,0.0,0.0
CG4857_isoform_D,1.04657247514,0.523286237572,0.523286237572,0.0,0.654107796965,-0.654107796965,0.0,0.0,0.0
CG17233_isoform_A,0.852514919011,0.0,0.852514919011,0.0,0.0,0.0,0.0,0.0,0.0
Pif1A_isoform_C,0.815660685155,0.203915171289,0.611745513866,0.0,0.0,0.0,42.528548124,28.792822186,13.735725938
Protein_associated_with_topo_II_related-1,0.77479338843,0.0,0.77479338843,0.0,0.0,0.0,0.0,0.0,0.0
CG17233_isoform_C,0.682593856655,0.0,0.682593856655,0.0,0.0,0.0,0.0,0.0,0.0
Probable_histone-binding_protein_Caf1,0.581395348837,0.0,0.581395348837,0.0,0.0,0.0,0.0,153.11627907,-153.11627907
Isoform_2_of_Box_A-binding_factor,0.400320256205,0.0,0.400320256205,0.0,0.0,0.0,0.0,0.0,0.0
Box_A-binding_factor,0.395569620253,0.0,0.395569620253,0.0,0.0,0.0,0.0,0.0,0.0
Homeodomain_interacting_protein_kinase_isoform_A,0.373134328358,0.0,0.373134328358,0.0,0.0,0.0,0.0,0.0,0.0
CG42389_isoform_G,0.353857041755,0.0,0.353857041755,0.0,0.0,0.0,0.0,0.0,0.0
Tax_Id=9606_Gene_Symbol=HRNR Hornerin,0.350877192982,0.0,0.350877192982,0.0,0.0,0.0,0.0,0.0,0.0
CG42389_isoform_F,0.283768444949,0.0,0.283768444949,0.0,0.0,0.0,0.0,0.0,0.0
Isoform_E_of_Maternal_protein_pumilio,0.267379679144,0.0,0.267379679144,0.0,0.0,0.0,0.0,0.0,0.0
CG42389_isoform_E,0.242248062016,0.0,0.242248062016,0.0,0.0,0.0,0.0,0.0,0.0
Isoform_B_of_Maternal_protein_pumilio,0.210970464135,0.0,0.210970464135,0.0,0.0,0.0,0.0,0.0,0.0
Maternal_protein_pumilio,0.163078930202,0.0,0.163078930202,0.0,0.0,0.0,0.0,0.0,0.0
Myopic,0.136388434261,0.0,0.136388434261,0.0,0.0,0.0,0.0,0.0,0.0
